id,title,rating,review_count,review_url,address
21,ChocoMuseo,4.5 of 5 bubbles,"2,413 reviews",https://www.tripadvisor.com/Attraction_Review-g295366-d2452009-Reviews-ChocoMuseo-Antigua_Sacatepequez_Department.html#REVIEWS,"|||4a Calle Poniente # 8, Antigua"
22,Amway Center,4.5 of 5 bubbles,"2,456 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d2012159-Reviews-Amway_Center-Orlando_Florida.html#REVIEWS,"|||400 W Church St, Orlando"
23,Titanic: The Artifact Exhibition (Orlando),4.5 of 5 bubbles,"1,490 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d4546270-Reviews-Titanic_The_Artifact_Exhibition_Orlando-Orlando_Florida.html#REVIEWS,"|||7324 International Dr, Orlando"
24,ICON Park,4.5 of 5 bubbles,"1,714 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d8051467-Reviews-ICON_Park-Orlando_Florida.html#REVIEWS,"|||8375 International Dr, Orlando"
25,Kaatz Witz Tours,4.5 of 5 bubbles,41 reviews,https://www.tripadvisor.com/Attraction_Review-g1632627-d8319371-Reviews-Kaatz_Witz_Tours-San_Jose_Succotz_Cayo.html#REVIEWS,|||San Jose Succotz
26,Universal Studios Florida,4.5 of 5 bubbles,"40,907 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d102432-Reviews-Universal_Studios_Florida-Orlando_Florida.html#REVIEWS,"|||6000 Universal Boulevard, Orlando"
27,Showcase of Citrus,4.5 of 5 bubbles,"1,040 reviews",https://www.tripadvisor.com/Attraction_Review-g34142-d251379-Reviews-Showcase_of_Citrus-Clermont_Lake_County_Florida.html#REVIEWS,"|||5010 US Highway 27, Clermont"
28,SeaWorld,4.5 of 5 bubbles,"33,606 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d102412-Reviews-SeaWorld-Orlando_Florida.html#REVIEWS,"|||7007 SeaWorld Drive, Orlando"
29,Discovery Cove,4.5 of 5 bubbles,"17,471 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d110173-Reviews-Discovery_Cove-Orlando_Florida.html#REVIEWS,"|||6000 Discovery Cove Way, Orlando"
30,Universal's Islands of Adventure,4.5 of 5 bubbles,"52,098 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d258685-Reviews-Universal_s_Islands_of_Adventure-Orlando_Florida.html#REVIEWS,"|||6000 Universal Blvd, Orlando"
0,Fun Spot America,4.5 of 5 bubbles,"4,870 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d130856-Reviews-Fun_Spot_America-Orlando_Florida.html#REVIEWS,"|||5700 Fun Spot Way, Orlando"
1,Fun Spot America,4.5 of 5 bubbles,"4,870 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d130856-Reviews-Fun_Spot_America-Orlando_Florida.html#REVIEWS,"|||5700 Fun Spot Way, Orlando"
2,Escapology,4.5 of 5 bubbles,"4,966 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d7263745-Reviews-Escapology-Orlando_Florida.html#REVIEWS,"|||11951 International Dr, Orlando"
3,The Escape Game Orlando,4.5 of 5 bubbles,"6,402 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d7393648-Reviews-The_Escape_Game_Orlando-Orlando_Florida.html#REVIEWS,"|||8145 International Dr, Orlando"
4,City Sightseeing Orlando,4.5 of 5 bubbles,"2,669 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d1541172-Reviews-City_Sightseeing_Orlando-Orlando_Florida.html#REVIEWS,|||Orlando
5,Orlando Tree Trek Adventure Park,4.5 of 5 bubbles,901 reviews,https://www.tripadvisor.com/Attraction_Review-g34352-d7340552-Reviews-Orlando_Tree_Trek_Adventure_Park-Kissimmee_Florida.html#REVIEWS,"|||7625 Sinclair Rd, Kissimmee"
6,The Wizarding World of Harry Potter,4.5 of 5 bubbles,"41,284 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d1968468-Reviews-The_Wizarding_World_of_Harry_Potter-Orlando_Florida.html#REVIEWS,"|||6000 Universal Boulevard, Orlando"
7,Orlando Column,4.5 of 5 bubbles,190 reviews,https://www.tripadvisor.com/Attraction_Review-g295371-d550754-Reviews-Orlando_Column-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html#REVIEWS,|||Dubrovnik
8,Sleuths Mystery Dinner Shows,4.5 of 5 bubbles,"1,859 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d505392-Reviews-Sleuths_Mystery_Dinner_Shows-Orlando_Florida.html#REVIEWS,"|||8267 International Dr, Orlando"
9,The Mall at Millenia,4.5 of 5 bubbles,"2,402 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d260587-Reviews-The_Mall_at_Millenia-Orlando_Florida.html#REVIEWS,"|||4200 Conroy Rd, Orlando"
10,Pirate's Cove Adventure Golf,4.5 of 5 bubbles,"1,600 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d592177-Reviews-Pirate_s_Cove_Adventure_Golf-Orlando_Florida.html#REVIEWS,"|||8501 International Dr, Orlando"
11,The Florida Mall,4.5 of 5 bubbles,"3,519 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d215984-Reviews-The_Florida_Mall-Orlando_Florida.html#REVIEWS,"|||8001 S Orange Blossom Trl, Orlando"
12,Fish Orlando Trophy Bass Guide Service,4.5 of 5 bubbles,317 reviews,https://www.tripadvisor.com/Attraction_Review-g34352-d5772684-Reviews-Fish_Orlando_Trophy_Bass_Guide_Service-Kissimmee_Florida.html#REVIEWS,"|||201 Lakeview Drive, Kissimmee"
13,Teatro Martini,4.5 of 5 bubbles,948 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d1812734-Reviews-Teatro_Martini-Orlando_Florida.html#REVIEWS,"|||6400 Carrier Dr, Orlando"
14,Noble Jones Tours,4.5 of 5 bubbles,"1,646 reviews",https://www.tripadvisor.com/Attraction_Review-g60814-d3957942-Reviews-Noble_Jones_Tours-Savannah_Georgia.html#REVIEWS,|||Savannah
15,Universal's Volcano Bay,4.5 of 5 bubbles,"4,917 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d12476015-Reviews-Universal_s_Volcano_Bay-Orlando_Florida.html#REVIEWS,"|||6000 Universal Blvd, Orlando"
16,I-Ride Trolley Service,4.5 of 5 bubbles,"1,895 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d116399-Reviews-I_Ride_Trolley_Service-Orlando_Florida.html#REVIEWS,"|||7081 Grand National Dr, Orlando"
17,Orlando On Wheels - Orlando Transportation,4.5 of 5 bubbles,97 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d9842197-Reviews-Orlando_On_Wheels_Orlando_Transportation-Orlando_Florida.html#REVIEWS,|||Orlando
18,Kissimmee Swamp Tours,4.5 of 5 bubbles,768 reviews,https://www.tripadvisor.com/Attraction_Review-g34337-d677214-Reviews-Kissimmee_Swamp_Tours-Kenansville_Florida.html#REVIEWS,"|||4500 Joe Overstreet Rd, Kenansville"
19,SeaWorld,4.5 of 5 bubbles,"4,623 reviews",https://www.tripadvisor.com/Attraction_Review-g60956-d103614-Reviews-SeaWorld-San_Antonio_Texas.html#REVIEWS,"|||10500 SeaWorld Drive, San Antonio"
20,Extreme Jet Ski of Orlando,4.5 of 5 bubbles,199 reviews,https://www.tripadvisor.com/Attraction_Review-g34352-d3850063-Reviews-Extreme_Jet_Ski_of_Orlando-Kissimmee_Florida.html#REVIEWS,"|||4836 W Irlo Bronson Memorial Hwy, Kissimmee"
21,Ripley's Believe It or Not! Orlando,4.5 of 5 bubbles,"1,849 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d124551-Reviews-Ripley_s_Believe_It_or_Not_Orlando-Orlando_Florida.html#REVIEWS,"|||8201 International Dr, Orlando"
22,Congo River Golf,4.5 of 5 bubbles,964 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d555399-Reviews-Congo_River_Golf-Orlando_Florida.html#REVIEWS,"|||5901 International Dr, Orlando"
23,Disney Springs,4.5 of 5 bubbles,"13,704 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d130846-Reviews-Disney_Springs-Orlando_Florida.html#REVIEWS,"|||1486 East Buena Vista Drive, Orlando"
24,Orlando Science Center,4.5 of 5 bubbles,854 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d130845-Reviews-Orlando_Science_Center-Orlando_Florida.html#REVIEWS,"|||777 E Princeton St, Orlando"
25,Kings Entertainment Orlando,4.5 of 5 bubbles,677 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d4261766-Reviews-Kings_Entertainment_Orlando-Orlando_Florida.html#REVIEWS,"|||8255 International Dr, Orlando"
26,Orlando Luxury Transportation,4.5 of 5 bubbles,82 reviews,https://www.tripadvisor.com/Attraction_Review-g34743-d12864103-Reviews-Orlando_Luxury_Transportation-Windermere_Florida.html#REVIEWS,|||Windermere
27,Medieval Times Dinner & Tournament,4.5 of 5 bubbles,"3,426 reviews",https://www.tripadvisor.com/Attraction_Review-g34352-d143442-Reviews-Medieval_Times_Dinner_Tournament-Kissimmee_Florida.html#REVIEWS,"|||4510 W Vine St, Kissimmee"
28,The Great Escape Room Orlando,4.5 of 5 bubbles,617 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d6681875-Reviews-The_Great_Escape_Room_Orlando-Orlando_Florida.html#REVIEWS,"|||23 1/2 S Magnolia Ave, Orlando"
29,Cortrans Shuttle Service,4.5 of 5 bubbles,543 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d8042478-Reviews-Cortrans_Shuttle_Service-Orlando_Florida.html#REVIEWS,|||Orlando
30,Orlando Cat Cafe,4.5 of 5 bubbles,98 reviews,https://www.tripadvisor.com/Attraction_Review-g34142-d10494516-Reviews-Orlando_Cat_Cafe-Clermont_Lake_County_Florida.html#REVIEWS,"|||532 Cagan Park Ave, Clermont"
0,Ace Luxury Transportation,5 of 5 bubbles,570 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d8491076-Reviews-Ace_Luxury_Transportation-Orlando_Florida.html#REVIEWS,"|||5013 Gateway Ave, Orlando"
1,Ace Luxury Transportation,5 of 5 bubbles,570 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d8491076-Reviews-Ace_Luxury_Transportation-Orlando_Florida.html#REVIEWS,"|||5013 Gateway Ave, Orlando"
2,Spirit of the Swamp Airboat Rides,5 of 5 bubbles,"2,933 reviews",https://www.tripadvisor.com/Attraction_Review-g34352-d1105578-Reviews-Spirit_of_the_Swamp_Airboat_Rides-Kissimmee_Florida.html#REVIEWS,"|||2830 Neptune Rd, Kissimmee"
3,Paddleboard Orlando,5 of 5 bubbles,543 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d2503090-Reviews-Paddleboard_Orlando-Orlando_Florida.html#REVIEWS,"|||1014 Miami Springs Dr, Orlando"
4,Capone's Dinner and Show,5 of 5 bubbles,"3,218 reviews",https://www.tripadvisor.com/Attraction_Review-g34352-d560908-Reviews-Capone_s_Dinner_and_Show-Kissimmee_Florida.html#REVIEWS,"|||4740 West US Highway 192, Kissimmee"
5,Gatorland,5 of 5 bubbles,"5,763 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d105757-Reviews-Gatorland-Orlando_Florida.html#REVIEWS,"|||14501 S Orange Blossom Trl, Orlando"
6,Pirate's Dinner Adventure,5 of 5 bubbles,"2,461 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d603308-Reviews-Pirate_s_Dinner_Adventure-Orlando_Florida.html#REVIEWS,"|||6400 Carrier Dr, Orlando"
7,Island Life Tours Jamaica,5 of 5 bubbles,360 reviews,https://www.tripadvisor.com/Attraction_Review-g147311-d15330402-Reviews-Island_Life_Tours_Jamaica-Montego_Bay_Saint_James_Parish_Jamaica.html#REVIEWS,|||Montego Bay
8,Drift Limits,5 of 5 bubbles,"1,253 reviews",https://www.tripadvisor.com/Attraction_Review-g503869-d6412710-Reviews-Drift_Limits-Hemel_Hempstead_Hertfordshire_England.html#REVIEWS,"|||Upper Bourne End Lane, Hemel Hempstead"
9,WonderWorks,5 of 5 bubbles,"3,503 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d318323-Reviews-WonderWorks-Orlando_Florida.html#REVIEWS,"|||9067 International Dr, Orlando"
10,Wekiwa Springs State Park,5 of 5 bubbles,803 reviews,https://www.tripadvisor.com/Attraction_Review-g29171-d145739-Reviews-Wekiwa_Springs_State_Park-Apopka_Florida.html#REVIEWS,"|||1800 Wekiwa Cir, Apopka"
11,Eco Ice Peru,5 of 5 bubbles,397 reviews,https://www.tripadvisor.com/Attraction_Review-g304039-d7034729-Reviews-Eco_Ice_Peru-Huaraz_Ancash_Region.html#REVIEWS,"|||Jr. agustin Loli 100, Huaraz"
12,Pointe Orlando,5 of 5 bubbles,739 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d110207-Reviews-Pointe_Orlando-Orlando_Florida.html#REVIEWS,"|||9101 International Dr, Orlando"
13,America's Escape Game,5 of 5 bubbles,"1,984 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d7334333-Reviews-America_s_Escape_Game-Orlando_Florida.html#REVIEWS,"|||8723 International Dr, Orlando"
14,NASA Kennedy Space Center Visitor Complex,5 of 5 bubbles,"20,957 reviews",https://www.tripadvisor.com/Attraction_Review-g34436-d109291-Reviews-NASA_Kennedy_Space_Center_Visitor_Complex-Merritt_Island_Brevard_County_Florida.html#REVIEWS,"|||Space Commerce Way, Merritt Island"
15,Orlando Helicopter Tours,5 of 5 bubbles,109 reviews,https://www.tripadvisor.com/Attraction_Review-g34352-d3681099-Reviews-Orlando_Helicopter_Tours-Kissimmee_Florida.html#REVIEWS,"|||5519 West Highway 192, Kissimmee"
16,Orlando Fishing Guide,5 of 5 bubbles,97 reviews,https://www.tripadvisor.com/Attraction_Review-g34352-d6105906-Reviews-Orlando_Fishing_Guide-Kissimmee_Florida.html#REVIEWS,"|||1550 Scottys Rd, Kissimmee"
17,Orlando Food Tours,5 of 5 bubbles,118 reviews,https://www.tripadvisor.com/Attraction_Review-g34747-d5798622-Reviews-Orlando_Food_Tours-Winter_Park_Florida.html#REVIEWS,"|||124 N Park Ave, Winter Park"
18,Orlando Lake Tours,5 of 5 bubbles,159 reviews,https://www.tripadvisor.com/Attraction_Review-g34743-d7189380-Reviews-Orlando_Lake_Tours-Windermere_Florida.html#REVIEWS,"|||Chase Road, Windermere"
19,Medieval Times Dinner & Tournament,5 of 5 bubbles,"1,200 reviews",https://www.tripadvisor.com/Attraction_Review-g55711-d590456-Reviews-Medieval_Times_Dinner_Tournament-Dallas_Texas.html#REVIEWS,"|||2021 N Stemmons Fwy, Dallas"
20,BookyBee Jaco Costa Rica,5 of 5 bubbles,94 reviews,https://www.tripadvisor.com/Attraction_Review-g309271-d22911959-Reviews-BookyBee_Jaco_Costa_Rica-Jaco_Jaco_District_Garabito_Municipality_Province_of_Pu.html#REVIEWS,"|||Pacific Center #23, Av. Pastor Diaz, Provincia de Puntarenas, Jaco, 6110, Jaco"
21,The Escape Hatch Escape Rooms Orlando,5 of 5 bubbles,57 reviews,https://www.tripadvisor.com/Attraction_Review-g34352-d16869041-Reviews-The_Escape_Hatch_Escape_Rooms_Orlando-Kissimmee_Florida.html#REVIEWS,"|||5718 W Irlo Bronson Memorial Hwy, Kissimmee"
22,Orlando Balloon Rides,5 of 5 bubbles,"1,043 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d1569785-Reviews-Orlando_Balloon_Rides-Orlando_Florida.html#REVIEWS,"|||44294 Highway 27, Orlando"
23,Orlando Towers,5 of 5 bubbles,199 reviews,https://www.tripadvisor.com/Attraction_Review-g312587-d2397710-Reviews-Orlando_Towers-Soweto_Johannesburg_Greater_Johannesburg_Gauteng.html#REVIEWS,|||Soweto
24,Clearwater Beach,5 of 5 bubbles,"12,764 reviews",https://www.tripadvisor.com/Attraction_Review-g34141-d117476-Reviews-Clearwater_Beach-Clearwater_Florida.html#REVIEWS,"|||1 Causeway Blvd, Clearwater"
25,Magic Kingdom Park,5 of 5 bubbles,"69,276 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d143395-Reviews-Magic_Kingdom_Park-Orlando_Florida.html#REVIEWS,"|||1180 Seven Seas Dr, Orlando"
26,Orange County Convention Center,5 of 5 bubbles,951 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d1419838-Reviews-Orange_County_Convention_Center-Orlando_Florida.html#REVIEWS,"|||9800 International Dr, Orlando"
27,Orlando Wetlands Park,5 of 5 bubbles,136 reviews,https://www.tripadvisor.com/Attraction_Review-g34134-d491847-Reviews-Orlando_Wetlands_Park-Christmas_Florida.html#REVIEWS,"|||25155 Wheeler Rd, Christmas"
28,Disney VIP Tours,5 of 5 bubbles,928 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d4367859-Reviews-Disney_VIP_Tours-Orlando_Florida.html#REVIEWS,|||Orlando
29,My VIP Tour,5 of 5 bubbles,"1,204 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d7739968-Reviews-My_VIP_Tour-Orlando_Florida.html#REVIEWS,"|||121 S Orange Ave, Orlando"
