RowNumber,DateRecorded,Description,PriceText,RatingText,NumReviewText,Url
1,2024-02-16,Evolution Indoor Game Basketballs,$120.00,4.8 out of 5 stars,"14,727",https://www.amazon.com/Wilson-Evolution-Indoor-Basketball-Youth/dp/B00KXVPN8A/ref=sr_1_1?keywords=B00KXVPN8A&amp;qid=1708123764&amp;sr=8-1
2,2024-02-17,Evolution Indoor Game Basketballs,$120.00,4.8 out of 5 stars,"14,733",https://www.amazon.com/Wilson-Evolution-Indoor-Basketball-Youth/dp/B00KXVPN8A/ref=sr_1_1?keywords=B00KXVPN8A&amp;qid=1708186930&amp;sr=8-1
