RowNumber,DateRecorded,Description,PriceText,RatingText,NumReviewText,Url
1,2024-02-16,ROVE R2-4K PRO Dash Cam,$129.99,4.5 out of 5 stars,"1,314",https://www.amazon.com/ROVE-R2-4K-PRO-Dashcam-Supports/dp/B0BZRKRBHP/ref=sr_1_2?dib=eyJ2IjoiMSJ9.ZnIvW30tYU6elhokgO7FAw.7ZnuBW4KH_Z9C-Tb_uJVb29Jd7tFajmskf-EGwCTeIA&amp;dib_tag=se&amp;keywords=B0BZRKRBHP&amp;qid=1708123764&amp;sr=8-2
2,2024-02-17,ROVE R2-4K PRO Dash Cam,$129.99,4.5 out of 5 stars,"1,321",https://www.amazon.com/ROVE-R2-4K-PRO-Dashcam-Supports/dp/B0BZRKRBHP/ref=sr_1_2?dib=eyJ2IjoiMSJ9.ZnIvW30tYU6elhokgO7FAw.qegNOqdQiqMeQsMlugJD3Ft1W6GrqSOZyT_Oled9Kso&amp;dib_tag=se&amp;keywords=B0BZRKRBHP&amp;qid=1708186930&amp;sr=8-2
