SiteSurveyID,SiteZone,SiteHabitat
2025.1.ANU.1165.R,Inshore,RGSH_LR
2025.1.ANU.1166.R,Inshore,RGSH_LR
2025.1.ANU.1167.R,Inshore,RGSH_LR
2025.1.ANU.1168.R,Inshore,RGSH_LR
2025.1.ANU.1169.R,Inner Reef,LIRI_HR
2025.1.ANU.1170.R,Inshore,RGSH_LR
2025.1.ANU.1171.R,Inshore,RGSH_LR
2025.1.ANU.1172.R,Inshore,CPSH_LR
2025.1.ANU.1173.R,Inshore,RGSH_LR
2025.1.ANU.1174.R,Inshore,CPSH_LR
2025.1.ANU.1175.R,Inshore,RGSH_LR
2025.1.ANU.1176.R,Inshore,RGSH_LR
2025.1.ANU.1177.R,Inshore,RGSH_LR
2025.1.ANU.1178.R,Inshore,RGSH_LR
2025.1.ANU.1179.R,Inshore,RGSH_LR
2025.1.ANU.1180.R,Inshore,CPSH_LR
2025.1.ANU.1181.R,Middle Reef,LIRM_LR
2025.1.ANU.1182.R,Inshore,RGSH_LR
2025.1.ANU.1183.R,Inshore,CPSH_LR
2025.1.ANU.1184.R,Outer Reef,LIRO_LR
2025.1.ANU.1185.R,Middle Reef,LIRM_LR
2025.1.ANU.1186.R,Forereef,ISOL_MR
2025.1.ANU.1187.R,Forereef,ISOL_MR
2025.1.ANU.1188.R,Forereef,SPGR_LR
2025.1.ANU.1189.R,Forereef,SPGR_LR
2025.1.ANU.1190.R,Forereef,CONT_LR
2025.1.ANU.1191.R,Inshore,ISOL_MR
2025.1.ANU.1192.R,Inshore,ISOL_MR
2025.1.ANU.1193.R,Inshore,ISOL_MR
2025.1.ANU.1194.R,Forereef,CONT_LR
2025.1.ANU.1195.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.1196.R,Mid Channel,ISOL_MR
2025.1.ANU.1197.R,Forereef,CONT_LR
2025.1.ANU.1198.R,Forereef,ISOL_LR
2025.1.ANU.1199.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.1200.R,Forereef,SPGR_LR
2025.1.ANU.1201.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.1202.R,Forereef,CONT_LR
2025.1.ANU.1203.R,Forereef,CONT_LR
2025.1.ANU.1204.R,Forereef,SPGR_LR
2025.1.ANU.1205.R,Mid Channel,ISOL_MR
2025.1.ANU.1206.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.1207.R,Forereef,SPGR_LR
2025.1.ANU.1208.R,Mid Channel,ISOL_MR
2025.1.ANU.1209.R,Forereef,CONT_LR
2025.1.ANU.1210.R,Mid Channel,ISOL_MR
2025.1.ANU.1211.R,Mid Channel,ISOL_MR
2025.1.ANU.1212.R,Mid Channel,ISOL_MR
2025.1.ANU.1214.R,Mid Channel,ISOL_MR
2025.1.ANU.1224.R,Mid Channel,ISOL_MR
2025.1.ANU.1225.R,Inshore,ISOL_MR
2025.1.ANU.1226.R,Mid Channel,ISOL_MR
2025.1.ANU.1227.R,Mid Channel,ISOL_MR
2025.1.ANU.1228.R,Forereef,SPGR_LR
2025.1.ANU.1229.R,Mid Channel,ISOL_MR
2025.1.ANU.1230.R,Mid Channel,ISOL_MR
2025.1.ANU.1231.R,Forereef,CONT_LR
2025.1.ANU.1232.R,Mid Channel,ISOL_MR
2025.1.ANU.1233.R,Mid Channel,ISOL_MR
2025.1.ANU.1234.R,Mid Channel,ISOL_MR
2025.1.ANU.1235.R,Mid Channel,ISOL_MR
2025.1.ANU.1236.R,Mid Channel,ISOL_MR
2025.1.ANU.1237.R,Mid Channel,ISOL_MR
2025.1.ANU.1238.R,Mid Channel,ISOL_MR
2025.1.ANU.1239.R,Inshore,ISOL_MR
2025.1.ANU.1240.R,Mid Channel,ISOL_MR
2025.1.ANU.1241.R,Inshore,ISOL_MR
2025.1.ANU.1242.R,Mid Channel,ISOL_MR
2025.1.ANU.1243.R,Mid Channel,ISOL_MR
2025.1.ANU.1244.R,Mid Channel,ISOL_MR
2025.1.ANU.1245.R,Forereef,SPGR_LR
2025.1.ANU.1246.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.1247.R,Mid Channel,ISOL_MR
2025.1.ANU.1248.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.1249.R,Mid Channel,ISOL_MR
2025.1.ANU.1250.R,Mid Channel,ISOL_MR
