SiteSurveyID,SiteZone,SiteHabitat
2025.1.ANU.2362.R,Inshore,ISOL_MR
2025.1.ANU.2363.R,Inshore,ISOL_MR
2025.1.ANU.2364.R,Inshore,ISOL_MR
2025.1.ANU.2365.R,Inshore,ISOL_MR
2025.1.ANU.2366.R,Inshore,ISOL_MR
2025.1.ANU.2367.R,Inshore,ISOL_MR
2025.1.ANU.2368.R,Inshore,ISOL_MR
2025.1.ANU.2369.R,Inshore,ISOL_MR
2025.1.ANU.2370.R,Inshore,ISOL_MR
2025.1.ANU.2371.R,Inshore,ISOL_MR
2025.1.ANU.2372.R,Inshore,ISOL_MR
2025.1.ANU.2373.R,Mid Channel,ISOL_MR
2025.1.ANU.2374.R,Inshore,ISOL_MR
2025.1.ANU.2375.R,Inshore,ISOL_MR
2025.1.ANU.2376.R,Inshore,ISOL_MR
2025.1.ANU.2377.R,Inshore,ISOL_MR
2025.1.ANU.2378.R,Inshore,ISOL_MR
2025.1.ANU.2379.R,Inshore,ISOL_MR
2025.1.ANU.2380.R,Inshore,ISOL_MR
2025.1.ANU.2382.R,Inshore,ISOL_MR
2025.1.ANU.2383.R,Inshore,ISOL_MR
2025.1.ANU.2384.R,Inshore,ISOL_MR
2025.1.ANU.2385.R,Mid Channel,ISOL_MR
2025.1.ANU.2387.R,Forereef,SPGR_LR
2025.1.ANU.2388.R,Forereef,CONT_LR
2025.1.ANU.2389.R,Mid Channel,ISOL_MR
2025.1.ANU.2390.R,Forereef,SPGR_LR
2025.1.ANU.2392.R,Forereef,SPGR_LR
2025.1.ANU.2393.R,Forereef,CONT_LR
2025.1.ANU.2394.R,Forereef,CONT_LR
2025.1.ANU.2396.R,Forereef,CONT_LR
2025.1.ANU.2398.R,Forereef,CONT_LR
2025.1.ANU.2416.R,Forereef,CONT_LR
2025.1.ANU.2418.R,Forereef,SPGR_LR
2025.1.ANU.2419.R,Forereef,SPGR_LR
2025.1.ANU.2426.R,Forereef,SPGR_LR
2025.1.ANU.2427.R,Mid Channel,ISOL_MR
2025.1.ANU.2428.R,Mid Channel,ISOL_MR
2025.1.ANU.2429.R,Forereef,SPGR_LR
2025.1.ANU.2430.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.2435.R,Forereef,ISOL_LR
2025.1.ANU.2436.R,Forereef,CONT_LR
2025.1.ANU.2439.R,Forereef,SPGR_LR
2025.1.ANU.2443.R,Mid Channel,ISOL_MR
2025.1.ANU.2444.R,Mid Channel,ISOL_MR
2025.1.ANU.2445.R,Forereef,SPGR_LR
2025.1.ANU.2446.R,Forereef,SPGR_LR
2025.1.ANU.2452.R,Forereef,SPGR_LR
2025.1.ANU.2454.R,Inshore,ISOL_MR
2025.1.ANU.2458.R,Forereef,SPGR_LR
2025.1.ANU.2459.R,Forereef,CONT_LR
2025.1.ANU.2460.R,Forereef,CONT_LR
2025.1.ANU.2462.R,Mid Channel,ISOL_MR
2025.1.ANU.2465.R,Mid Channel,ISOL_MR
2025.1.ANU.2467.R,Forereef,CONT_LR
2025.1.ANU.2468.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.2474.R,Forereef,SPGR_LR
2025.1.ANU.2476.R,Forereef,CONT_LR
2025.1.ANU.2480.R,Inshore,ISOL_MR
2025.1.ANU.2481.R,Inshore,ISOL_MR
2025.1.ANU.2482.R,Inshore,ISOL_MR
2025.1.ANU.2487.R,Inshore,ISOL_MR
2025.1.ANU.2488.R,Inshore,ISOL_MR
2025.1.ANU.2489.R,Forereef,SPGR_LR
2025.1.ANU.2491.R,Forereef,SPGR_LR
2025.1.ANU.2521.R,Inshore,ISOL_MR
2025.1.ANU.2528.R,Mid Channel,ISOL_MR
2025.1.ANU.2530.R,Mid Channel,ISOL_MR
2025.1.ANU.2534.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.2543.R,Mid Channel,ISOL_MR
2025.1.ANU.2544.R,Forereef,CONT_LR
2025.1.ANU.2550.R,Forereef,SPGR_LR
2025.1.ANU.2554.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.2558.R,Forereef,CONT_LR
2025.1.ANU.2575.R,Forereef,CONT_LR
2025.1.ANU.2583.R,Forereef,SPGR_LR
2025.1.ANU.2586.R,Forereef,ISOL_LR
2025.1.ANU.2588.R,Forereef,SPGR_LR
2025.1.ANU.2597.R,Lagoon,ISOL_MR
2025.1.ANU.2598.R,Lagoon,ISOL_LR
2025.1.ANU.2599.R,Lagoon,CONT_LR
2025.1.ANU.2600.R,Lagoon,ISOL_MR
2025.1.ANU.2601.R,Lagoon,CONT_LR
2025.1.ANU.2603.R,Lagoon,ISOL_MR
2025.1.ANU.2605.R,Forereef,ISOL_LR
2025.1.ANU.2609.R,Forereef,CONT_LR
2025.1.ANU.2610.R,Forereef,CONT_LR
2025.1.ANU.2611.R,Forereef,CONT_LR
2025.1.ANU.2612.R,Forereef,CONT_LR
2025.1.ANU.2614.R,Forereef,CONT_LR
2025.1.ANU.2615.R,Forereef,CONT_MR
2025.1.ANU.2616.R,Lagoon,CONT_MR
2025.1.ANU.2617.R,Lagoon,ISOL_MR
2025.1.ANU.2625.R,Lagoon,ISOL_MR
2025.1.ANU.2634.R,Lagoon,CONT_LR
2025.1.ANU.2635.R,Lagoon,ISOL_MR
2025.1.ANU.2643.R,Forereef,CONT_HR
2025.1.ANU.2644.R,Forereef,CONT_LR
2025.1.ANU.2645.R,Forereef,CONT_MR
2025.1.ANU.2646.R,Forereef,CONT_LR
2025.1.ANU.2647.R,Forereef,CONT_LR
2025.1.ANU.2648.R,Forereef,CONT_LR
2025.1.ANU.2649.R,Forereef,CONT_LR
2025.1.ANU.2651.R,Forereef,CONT_LR
2025.1.ANU.2652.R,Forereef,CONT_LR
2025.1.ANU.2653.R,Forereef,CONT_LR
2025.1.ANU.2654.R,Forereef,CONT_LR
2025.1.ANU.2655.R,Forereef,CONT_LR
2025.1.ANU.2656.R,Forereef,CONT_LR
2025.1.ANU.2657.R,Forereef,CONT_LR
2025.1.ANU.2658.R,Forereef,CONT_LR
2025.1.ANU.2659.R,Forereef,CONT_LR
2025.1.ANU.2660.R,Forereef,CONT_LR
2025.1.ANU.2661.R,Forereef,CONT_LR
2025.1.ANU.3002.R,Forereef,CONT_LR
2025.1.ANU.3003.R,Mid Channel,ISOL_MR
2025.1.ANU.3005.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.3007.R,Forereef,CONT_LR
2025.1.ANU.3008.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.3009.R,Forereef,SPGR_LR
2025.1.ANU.3010.R,Forereef,UNDF_UN
2025.1.ANU.3011.R,Forereef,CONT_LR
2025.1.ANU.3012.R,Forereef,SPGR_LR
2025.1.ANU.3013.R,Forereef,RUBB_LR
2025.1.ANU.3014.R,Undetermined,SAND_NA
2025.1.ANU.3015.R,Reef Ridge Complex,RGDP_HR
2025.1.ANU.3016.R,Undetermined,SAND_NA
2025.1.ANU.3017.R,Undetermined,SAND_NA
2025.1.ANU.3018.R,Undetermined,SAND_NA
2025.1.ANU.3019.R,Undetermined,SAND_NA
2025.1.ANU.3020.R,Forereef,SPGR_HR
2025.1.ANU.3021.R,Forereef,CONT_LR
2025.1.ANU.3022.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.3023.R,Offshore Patch Reef,SGRS_NA
2025.1.ANU.3024.R,Undetermined,SAND_NA
2025.1.ANU.3025.R,Undetermined,SAND_NA
2025.1.ANU.3026.R,Undetermined,SAND_NA
2025.1.ANU.3028.R,Forereef,CONT_LR
2025.1.ANU.3029.R,Forereef,SPGR_HR
2025.1.ANU.3030.R,Mid Channel,ISOL_MR
2025.1.ANU.3031.R,Mid Channel,ISOL_MR
2025.1.ANU.3032.R,Inshore,ISOL_MR
2025.1.ANU.3033.R,Mid Channel,ISOL_MR
2025.1.ANU.3034.R,Undetermined,SAND_NA
2025.1.ANU.3035.R,Undetermined,SAND_NA
2025.1.ANU.3036.R,Undetermined,SAND_NA
2025.1.ANU.3037.R,Mid Channel,ISOL_MR
2025.1.ANU.3038.R,Mid Channel,ISOL_MR
2025.1.ANU.3041.R,Forereef,CONT_LR
2025.1.ANU.3042.R,Mid Channel,ISOL_MR
2025.1.ANU.3043.R,Forereef,SPGR_HR
2025.1.ANU.3044.R,Forereef,ISOL_LR
2025.1.ANU.3045.R,Forereef,SPGR_LR
2025.1.ANU.3046.R,Forereef,SPGR_LR
2025.1.ANU.3047.R,Forereef,SPGR_LR
2025.1.ANU.3049.R,Inner Reef,LIRI_HR
2025.1.ANU.3050.R,Outer Reef,LIRO_HR
2025.1.ANU.3051.R,Outer Reef,LIRO_HR
2025.1.ANU.3052.R,Outer Reef,LIRO_HR
2025.1.ANU.3053.R,Forereef,RUBB_LR
2025.1.ANU.3054.R,Inshore,ISOL_MR
2025.1.ANU.3055.R,Undetermined,SAND_NA
2025.1.ANU.3056.R,Undetermined,SAND_NA
2025.1.ANU.3057.R,Mid Channel,ISOL_MR
2025.1.ANU.3058.R,Mid Channel,ISOL_MR
2025.1.ANU.3059.R,Inshore,ISOL_MR
2025.1.ANU.3060.R,Inshore,ISOL_MR
2025.1.ANU.3061.R,Forereef,SPGR_LR
2025.1.ANU.3062.R,Inshore,ISOL_MR
2025.1.ANU.3063.R,Forereef,CONT_LR
2025.1.ANU.3064.R,Mid Channel,ISOL_MR
2025.1.ANU.3065.R,Forereef,CONT_LR
2025.1.ANU.3066.R,Forereef,SPGR_LR
2025.1.ANU.3067.R,Forereef,SPGR_LR
2025.1.ANU.3068.R,Forereef,CONT_LR
2025.1.ANU.3069.R,Forereef,SPGR_LR
2025.1.ANU.3070.R,Forereef,SPGR_LR
2025.1.ANU.3071.R,Inner Reef,LIRI_HR
2025.1.ANU.3072.R,Inner Reef,LIRI_HR
2025.1.ANU.3073.R,Mid Channel,ISOL_MR
2025.1.ANU.3074.R,Mid Channel,ISOL_MR
2025.1.ANU.3075.R,Forereef,SPGR_LR
2025.1.ANU.3077.R,Forereef,CONT_LR
2025.1.ANU.3078.R,Forereef,CONT_LR
2025.1.ANU.3079.R,Mid Channel,ISOL_MR
2025.1.ANU.3080.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.3081.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.3082.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.3083.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.3084.R,Reef Ridge Complex,DPRC_LR
2025.1.ANU.3085.R,Reef Ridge Complex,DPRC_LR
2025.1.ANU.3086.R,Inshore,RGSH_LR
2025.1.ANU.3087.R,Mid Channel,ISOL_MR
2025.1.ANU.MQ25-109.R,Mid Channel,ISOL_MR
2025.1.ANU.MQ25-11.R,Forereef,SPGR_LR
2025.1.ANU.MQ25-15.R,Mid Channel,ISOL_MR
2025.1.ANU.MQ25-16.R,Mid Channel,ISOL_MR
2025.1.ANU.MQ25-17.R,Mid Channel,ISOL_MR
2025.1.ANU.MQ25-18.R,Mid Channel,ISOL_MR
2025.1.ANU.MQ25-2.R,Mid Channel,UCHB_LR
2025.1.ANU.MQ25-22.R,Forereef,CONT_LR
2025.1.ANU.MQ25-24.R,Forereef,CONT_LR
2025.1.ANU.MQ25-27.R,Forereef,CONT_LR
2025.1.ANU.MQ25-30.R,Mid Channel,ISOL_MR
2025.1.ANU.MQ25-31.R,Mid Channel,ISOL_MR
2025.1.ANU.MQ25-32.R,Forereef,CONT_LR
2025.1.ANU.MQ25-33.R,Mid Channel,ISOL_MR
2025.1.ANU.MQ25-36.R,Mid Channel,ISOL_MR
2025.1.ANU.MQ25-37.R,Forereef,SPGR_LR
2025.1.ANU.MQ25-39.R,Forereef,CONT_LR
2025.1.ANU.MQ25-40.R,Mid Channel,ISOL_MR
2025.1.ANU.MQ25-41.R,Forereef,SPGR_LR
2025.1.ANU.MQ25-42.R,Forereef,CONT_LR
2025.1.ANU.MQ25-43.R,Forereef,CONT_LR
2025.1.ANU.MQ25-44.R,Mid Channel,ISOL_MR
2025.1.ANU.MQ25-45.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.MQ25-47.R,Mid Channel,ISOL_MR
2025.1.ANU.MQ25-49.R,Mid Channel,ISOL_MR
2025.1.ANU.MQ25-55.R,Mid Channel,ISOL_MR
2025.1.ANU.MQ25-57.R,Mid Channel,ISOL_MR
2025.1.ANU.MQ25-6.R,Mid Channel,ISOL_MR
2025.1.ANU.MQ25-7.R,Mid Channel,ISOL_MR
2025.1.ANU.MQ25-73.R,Mid Channel,ISOL_MR
2025.1.ANU.MQ25-85.R,Mid Channel,ISOL_MR
2025.1.ANU.MQ25-89.R,Mid Channel,ISOL_MR
2025.1.ANU.MQ25-90.R,Mid Channel,ISOL_MR
