id,product,price,rating,reviews,url,date
1,"Wilson Evolution Basketballs",99.95,"4.7 out of 5 stars, rating details","",https://www.amazon.com/Wilson-Evolution-Indoor-Basketball-Youth/dp/B00KXVPN8A/ref=sr_1_4?dib=eyJ2IjoiMSJ9.dG5QKkE7fU3BIKdQyMegBQ.H8DBAst_79kOanbNBWmwjJNQLhba_2PrmvDZFSCuHaU&dib_tag=se&keywords=B00KXVPN8A&nsdOptOutParam=true&qid=1777316159&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-4,2026-04-27
2,"Wilson Evolution Basketballs",99.95,"4.7 out of 5 stars, rating details","",https://www.amazon.com/Wilson-Evolution-Indoor-Basketball-Youth/dp/B00KXVPN8A/ref=sr_1_4?dib=eyJ2IjoiMSJ9.dG5QKkE7fU3BIKdQyMegBQ.1vwOsPd8z3wBXbdockFHEflItEjFWMYDy9F3gykOfzU&dib_tag=se&keywords=B00KXVPN8A&nsdOptOutParam=true&qid=1777316254&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-4,2026-04-27
