,Title,Salary,Date Posted,Url,Location,Job ID
0,Senior Software Engineer – Supply Chain Platform,$112 - 115k,"May 09, 2025",https://jobs.publix.com/job-opening/senior-software-engineer-supply-chain-platform/?fromsearch=1,"Lakeland, FL",33015BR
1,Senior ServiceNow Developer,$112 - 168k,"May 05, 2025",https://jobs.publix.com/job-opening/senior-servicenow-developer/?fromsearch=1,"Lakeland, FL",32967BR
2,Sr. Cybersecurity Analyst 2 – Security Threat Management,$110 - 165k,"May 02, 2025",https://jobs.publix.com/job-opening/sr-cybersecurity-analyst-2-security-threat-management/?fromsearch=1,"Lakeland, FL",32774BR
3,Senior Software Engineer – PETS Development,$110 - 165k,"Apr 22, 2025",https://jobs.publix.com/job-opening/lead-software-engineer-pets-development/?fromsearch=1,"Lakeland, FL",32793BR
4,Lead Azure Developer – Item Data Management,$132 - 198k,"Apr 21, 2025",https://jobs.publix.com/job-opening/lead-azure-developer-item-data-management/?fromsearch=1,"Lakeland, FL",32805BR
5,Sr. Azure Developer – Item Data Management,$112 - 168k,"Apr 21, 2025",https://jobs.publix.com/job-opening/sr-azure-developer-item-data-management/?fromsearch=1,"Lakeland, FL",32795BR
6,Intermediate Software Engineer – Supply Chain Replenishment Engine,$93 - 140k,"Apr 15, 2025",https://jobs.publix.com/job-opening/intermediate-software-engineer-supply-chain-replenishment-engine/?fromsearch=1,"Lakeland, FL",32756BR
7,Lead Software Engineer – Data and AI,$110 - 165k,"Apr 11, 2025",https://jobs.publix.com/job-opening/lead-software-engineer-data-and-ai/?fromsearch=1,"Lakeland, FL",32742BR
